ph_value,do_value,temp_value,salinity_value
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.5,9.73,30.1,258.0
6.8,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.6,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.8,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.74,30.2,258.0
6.7,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.5,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.4,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.5,9.73,30.1,258.0
6.7,9.74,30.2,256.3
6.7,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.8,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.8,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.5,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.8,9.73,30.1,256.3
6.7,9.74,30.2,256.3
6.5,9.73,30.1,258.0
6.6,9.73,30.1,258.0
6.5,9.73,30.1,258.0
6.7,9.73,30.1,258.0
6.7,9.73,30.1,258.0
6.7,9.73,30.1,258.0
6.8,9.73,30.1,258.0
6.7,9.74,30.2,256.3
6.4,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.8,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.6,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.5,9.73,30.1,258.0
6.7,9.74,30.2,258.0
6.7,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.4,9.73,30.1,258.0
6.7,9.73,30.1,258.0
6.6,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.4,9.73,30.1,258.0
6.7,9.73,30.1,258.0
6.7,9.73,30.1,258.0
6.7,9.73,30.1,258.0
6.8,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.6,9.73,30.1,256.3
6.5,9.73,30.1,258.0
6.7,9.73,30.1,258.0
6.8,9.73,30.1,258.0
6.5,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.4,9.73,30.1,258.0
6.4,9.73,30.1,258.0
6.5,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.5,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.5,9.73,30.1,258.0
6.4,9.73,30.1,258.0
6.8,9.73,30.1,258.0
6.6,9.73,30.1,256.3
6.8,9.73,30.1,258.0
6.8,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.5,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.5,9.73,30.1,258.0
6.5,9.73,30.1,258.0
6.5,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.8,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.6,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.6,9.73,30.1,256.3
6.5,9.73,30.1,258.0
6.8,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.74,30.2,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.6,9.73,30.1,256.3
6.4,9.73,30.1,258.0
6.8,9.73,30.1,258.0
6.7,9.73,30.1,258.0
6.6,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.6,9.73,30.1,256.3
6.6,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.6,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.6,9.73,30.1,256.3
6.8,9.73,30.1,258.0
6.7,9.73,30.1,258.0
6.6,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.74,30.2,258.0
6.8,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.6,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.6,9.74,30.2,258.0
6.7,9.73,30.1,258.0
6.5,9.73,30.1,258.0
6.8,9.73,30.1,256.3
6.5,9.73,30.1,258.0
6.5,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.8,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.74,30.2,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.6,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.6,9.74,30.2,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.4,9.74,30.2,258.0
6.8,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.6,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.8,9.73,30.1,256.3
6.7,9.73,30.1,258.0
6.4,9.73,30.1,258.0
6.7,9.73,30.1,256.3
6.7,9.73,30.1,256.3
6.8,9.73,30.1,256.3
